ADMIN,C,40;POP,N,13,0;REFUGEES,N,7,0;POP_BY_REF,N,10,2
Turquie;75837020;1587374;20,93
Pakistan;185132926;1505525;8,13
Liban;4965914;1154040;232,39
Iran;78470222;982027;12,51
Ethiopie;9656031;659524;68,3
Jordanie;7504812;654141;87,16
Kenya;45545980;551352;12,11
Tchad;13211146;452897;34,28
Uganda;38844624;385513;9,92
Chine;1393783836;301052;0,22
Belgique;11144420;29179;2,62
