ADMIN,C,40;POP,N,13,0;REFUGEES,N,7,0;POP_BY_REF,N,10,2
Liban;4965914;1154040;232,39
Jordanie;7504812;654141;87,16
Ethiopie;9656031;659524;68,3
Tchad;13211146;452897;34,28
Djibouti;886313;20530;23,16
Sud Soudan;11738718;248151;21,14
Turquie;75837020;1587374;20,93
Mauritanie;3984457;75635;18,98
Suède;9631261;142207;14,77
Malte;430146;6095;14,17
Belgique;11144420;29179;2,62
